,GLD,GLD
2008-12-24,0,0
2008-12-26,0,0
2008-12-29,0,0
2008-12-30,0,0
2008-12-31,0,0
2009-01-02,1,0
2009-01-05,1,-0.020294560267569393
2009-01-06,1,0.0076940562340901885
2009-01-07,1,-0.027957210503990845
2009-01-08,1,0.020664641504201282
2009-01-09,1,-0.006393569990301112
2009-01-12,1,-0.03765486298454429
2009-01-13,1,0.0014858236009588702
2009-01-14,1,-0.013476710866784333
2009-01-15,1,0.007519720105734859
2009-01-16,1,0.028859307282479686
2009-01-20,1,0.021883660725774873
2009-01-21,1,-0.004377604494590956
2009-01-22,1,0.005109926290893078
2009-01-23,1,0.046701310744023804
2009-01-26,1,0.004744133906432753
2009-01-27,1,-0.006408091224060272
2009-01-28,1,-0.01086217599351113
2009-01-29,1,0.023793203781987474
2009-01-30,1,0.020223436408868714
2009-02-02,1,-0.027050720476891065
2009-02-03,1,-0.004164735844655766
2009-02-04,1,0.008025308858100336
2009-02-05,1,0.010540507268328577
2009-02-06,1,-0.00588111842585921
2009-02-09,1,-0.014175652360522331
2009-02-10,1,0.02139944968499809
2009-02-11,1,0.02305733125112853
2009-02-12,1,0.009535131050907959
2009-02-13,1,-0.006654450245488486
2009-02-17,1,0.03133434684883347
2009-02-18,1,0.015296037302744776
2009-02-19,1,-0.011763563883639574
2009-02-20,1,0.021196684555155776
2009-02-23,1,-0.0007157432785270308
2009-02-24,1,-0.030696816708818426
2009-02-25,1,-0.01667900110909309
2009-02-26,1,-0.0009662261493377579
2009-02-27,1,-0.004620678234007457
2009-03-02,1,-0.018352553153934796
2009-03-03,1,-0.009787742072599314
2009-03-04,1,-0.011661517559766485
2009-03-05,1,0.03371165380397642
2009-03-06,1,0.0032612572967127915
2009-03-09,1,-0.018636918448808285
2009-03-10,1,-0.02683007964407278
2009-03-11,1,0.012253254351412304
2009-03-12,1,0.021071477557677094
2009-03-13,1,0.0021954399669230984
2009-03-16,1,-0.005476451076530095
2009-03-17,1,-0.008370067298315534
2009-03-18,1,0.03387378266715801
2009-03-19,1,0.013535311911035143
2009-03-20,1,-0.008055136709291276
2009-03-23,1,-0.0161341443094448
2009-03-24,1,-0.01227199022960268
2009-03-25,1,0.01132497463719061
2009-03-26,1,-0.0005436295926601876
2009-03-27,1,-0.013488500594508512
2009-03-30,1,-0.00782885726496014
2009-03-31,1,0.00333402324039994
2009-04-01,1,0.008307487928012587
2009-04-02,1,-0.024497371827343524
2009-04-03,1,-0.013626201264451817
2009-04-06,1,-0.026487039523035216
2009-04-07,1,0.017239372329946677
2009-04-08,1,-0.0014987002146591862
2009-04-09,1,-0.00346383846719378
2009-04-13,1,0.018190241446344433
2009-04-14,1,-0.005803305903222499
2009-04-15,1,0.0014878934340316742
2009-04-16,1,-0.01931431361607143
2009-04-17,1,-0.0068756130366715955
2009-04-20,1,0.02030034854210706
2009-04-21,1,-0.0006900236998221416
2009-04-22,1,0.005639289529422033
2009-04-23,1,0.01625092518853677
2009-04-24,1,0.010360339384325066
2009-04-27,1,-0.007913498381772448
2009-04-28,1,-0.01415573650141055
2009-04-29,1,0.006609707476406695
2009-04-30,1,-0.012000511332669408
2009-05-01,1,-0.003666777897712257
2009-05-04,1,0.019436486494786652
2009-05-05,1,-0.004399812639145646
2009-05-06,1,0.014617574113624292
2009-05-07,1,-0.0011168022459083177
2009-05-08,1,0.00603757715549156
2009-05-11,1,-0.0032229484853091767
2009-05-12,1,0.011260948593414954
2009-05-13,1,0.004299883161749058
2009-05-14,1,-0.0006586624328229648
2009-05-15,1,0.0057124495159193945
2009-05-18,1,-0.012998387785235594
2009-05-19,1,0.00664008931018487
2009-05-20,1,0.01418206825540254
2009-05-21,1,0.017344156901041668
2009-05-22,1,0.003196622873047117
2009-05-26,1,-0.004142319525520547
2009-05-27,1,-0.00330636925048117
2009-05-28,1,0.00845372863912334
2009-05-29,1,0.02079795340515575
2009-06-01,1,-0.004885588422226885
2009-06-02,1,0.00658098016636431
2009-06-03,1,-0.02023658090380613
2009-06-04,1,0.019277614916083936
2009-06-05,1,-0.02618730317522498
2009-06-08,1,-0.0016006992566896829
2009-06-09,1,0.002885894394042092
2009-06-10,1,0.0003197141501807621
2009-06-11,1,-0.0017047055302461679
2009-06-12,1,-0.01632869614864569
2009-06-15,1,-0.011608980319853494
2009-06-16,1,0.009110887430919852
2009-06-17,1,0.004568673638105775
2009-06-18,1,-0.008012971044898265
2009-06-19,1,0.0031656032485013956
2009-06-22,1,-0.014798700628623911
2009-06-23,1,0.004197009604323964
2009-06-24,1,0.005829287175215778
2009-06-25,1,0.00940405291471246
2009-06-26,1,-0.00021662488999323596
2009-06-29,1,-0.002708852503196137
2009-06-30,1,-0.009343770119481589
2009-07-01,1,0.013270443961645517
2009-07-02,1,-0.012338991202289859
2009-07-06,1,-0.005369839602953767
2009-07-07,1,-0.000550937093222608
2009-07-08,1,-0.015874792811598027
2009-07-09,1,0.002688534806646077
2009-07-10,1,0.0007820320986886153
2009-07-13,1,0.0068095623786881155
2009-07-14,1,0.006874321991401346
2009-07-15,1,0.01574716819316172
2009-07-16,1,-0.002818674250404112
2009-07-17,1,-0.0005436295926601876
2009-07-20,1,0.014685069831823844
2009-07-21,1,-0.0016080781286652256
2009-07-22,1,0.003328736144431742
2009-07-23,1,-0.0019263730786892334
2009-07-24,1,0.0016084229299050416
2009-07-27,1,0.0032115984434434907
2009-07-28,1,-0.017073935436482217
2009-07-29,1,-0.00987953160437941
2009-07-30,1,0.004605326890287128
2009-07-31,1,0.018882292901956955
2009-08-03,1,0.0055704797103461705
2009-08-04,1,0.008628928676826351
2009-08-05,1,0.0010561731495434652
2009-08-06,1,-0.0018991380828662697
2009-08-07,1,-0.008985184860797017
2009-08-10,1,-0.008746663411458333
2009-08-11,1,-0.0015065037037414082
2009-08-12,1,0.0017242809692447178
2009-08-13,1,0.008284069905776358
2009-08-14,1,-0.007682471311620874
2009-08-17,1,-0.014946229996219758
2009-08-18,1,0.004912094151774731
2009-08-19,1,0.005105379460867155
2009-08-20,1,-0.002809922616022372
2009-08-21,1,0.014956160539929963
2009-08-24,1,-0.013988309307461987
2009-08-25,1,0.004548471030938295
2009-08-26,1,0.0003234020979518498
2009-08-27,1,0.004310825756355506
2009-08-28,1,0.007296923354018961
2009-08-31,1,-0.005006937327699594
2009-09-01,1,0.005353318970358496
2009-09-02,1,0.024387655786099405
2009-09-03,1,0.013203000424498582
2009-09-04,1,0.0007182402573546824
2009-09-08,1,-0.0010253099084660388
2009-09-09,1,-0.003592307020679551
2009-09-10,1,0.006386434955640588
2009-09-11,1,0.011054266783926637
2009-09-14,1,-0.008301272574990972
2009-09-15,1,0.00959577838088452
2009-09-16,1,0.010212357134961056
2009-09-17,1,-0.005705207720204737
2009-09-18,1,-0.006744495607453121
2009-09-21,1,-0.0031417610656378466
2009-09-22,1,0.013318397219040722
2009-09-23,1,-0.008427775191354894
2009-09-24,1,-0.012951520343842284
2009-09-25,1,-0.0056381653977600945
2009-09-28,1,0.0005154953789465206
2009-09-29,1,0.0039154790465623385
2009-09-30,1,0.014574547516139931
2009-10-01,1,-0.00971167525838641
2009-10-02,1,0.0049034973942839
2009-10-05,1,0.01474023490654593
2009-10-06,1,0.02464435075128747
2009-10-07,1,0.0007821845131941981
2009-10-08,1,0.012504872720442619
2009-10-09,1,-0.007719056893758693
2009-10-12,1,0.007001178980379309
2009-10-13,1,0.0067594109128928815
2009-10-14,1,-0.0007673300346776684
2009-10-15,1,-0.01267037522516344
2009-10-16,1,0.003111021708393951
2009-10-19,1,0.010176420320335486
2009-10-20,1,-0.007771324588894375
2009-10-21,1,0.0031908899332564445
2009-10-22,1,0.0016385365681475903
2009-10-23,1,-0.004137801315938431
2009-10-26,1,-0.0157502878255311
2009-10-27,1,-9.819493589765675e-05
2009-10-28,1,-0.010996515797416314
2009-10-29,1,0.019457947177143053
2009-10-30,1,-0.0015581230724059168
2009-11-02,1,0.013849587299829777
2009-11-03,1,0.024146245405665817
2009-11-04,1,0.006011641885705993
2009-11-05,1,-0.0011204026040812203
2009-11-06,1,0.0042063650600271014
2009-11-09,1,0.0070743938757473245
2009-11-10,1,0.0018485714366306835
2009-11-11,1,0.011163383073034824
2009-11-12,1,-0.012682476359492342
2009-11-13,1,0.014139162667421356
2009-11-16,1,0.01722252074393759
2009-11-17,1,0.0030458118395657826
2009-11-18,1,0.002500658892956264
2009-11-19,1,0.0004454614855929844
2009-11-20,1,0.005699014890974393
2009-11-23,1,0.011953235744097656
2009-11-24,1,0.0038498769610778054
2009-11-25,1,0.016473453624580733
2009-11-27,1,-0.01337682345436236
2009-11-30,1,0.005040864273956936
2009-12-01,1,0.015046678251066195
2009-12-02,1,0.015334836376522394
2009-12-03,1,-0.0040275495528149284
2009-12-04,1,-0.04170174452827138
2009-12-07,1,-0.005626368260645605
2009-12-08,1,-0.019096487052018427
2009-12-09,1,-0.0009914431129085784
2009-12-10,1,-0.00018040999392897312
2009-12-11,1,-0.013535462950105536
2009-12-14,1,0.008415643720394833
2009-12-15,1,-0.0002721224589821416
2009-12-16,1,0.012521524951290873
2009-12-17,1,-0.03808585123644191
2009-12-18,1,0.014999074578720087
2009-12-21,1,-0.018357045030025294
2009-12-22,1,-0.007293116424064517
2009-12-23,1,0.003579211541548762
2009-12-24,1,0.0169873064922816
2009-12-28,1,0.0017534370647474802
2009-12-29,1,-0.009949348693612942
2009-12-30,1,-0.005024666505943218
