iter	Passed	Remaining
469	744	840
470	746	838
471	747	836
472	749	834
473	750	833
474	752	831
475	753	829
476	755	827
477	756	826
478	758	824
479	759	823
480	761	821
481	763	820
482	765	818
483	766	817
484	768	815
485	769	814
486	771	812
487	772	810
488	774	809
489	776	807
490	777	806
491	779	804
492	781	803
493	782	801
494	784	800
495	785	798
496	787	796
497	788	795
498	790	793
499	791	791
500	793	790
501	794	788
502	796	786
503	797	785
504	799	783
505	800	781
506	802	780
507	804	779
508	806	777
509	807	775
510	808	774
511	810	772
512	811	770
513	813	769
514	814	767
515	816	765
516	817	764
517	819	762
518	820	760
519	822	759
520	824	757
521	825	756
522	827	754
523	829	753
524	830	751
525	832	750
526	833	748
527	835	746
528	836	745
529	838	743
530	839	741
531	841	740
532	842	738
533	844	736
534	845	735
535	847	733
536	848	731
537	850	729
538	851	728
539	853	726
540	854	725
541	856	723
542	858	722
543	859	720
544	861	718
545	862	717
546	864	715
547	865	713
548	866	712
549	868	710
550	869	708
551	871	707
552	872	705
553	874	703
554	875	702
555	877	700
556	878	698
557	880	697
558	881	695
559	882	693
560	885	692
561	886	690
562	887	689
563	889	687
564	890	685
565	892	684
566	893	682
567	895	680
568	896	679
569	898	677
570	899	676
571	901	674
572	902	672
573	904	671
574	905	669
575	907	667
576	908	666
577	909	664
578	911	662
579	912	660
580	914	659
581	915	657
582	917	655
583	919	654
584	920	653
585	921	651
586	923	649
587	924	647
588	926	646
589	927	644
590	929	642
591	930	641
592	931	639
593	933	637
594	934	636
595	936	634
596	937	633
597	939	631
598	940	629
599	942	628
600	943	626
601	944	624
602	946	623
603	948	621
604	949	619
605	950	618
606	952	616
607	953	614
608	955	613
609	956	611
610	958	610
611	959	608
612	961	606
613	962	605
614	963	603
615	965	601
616	966	600
617	968	598
618	969	596
619	971	595
620	972	593
621	973	591
622	975	590
623	976	588
624	978	586
625	979	585
626	981	583
627	982	582
628	984	580
629	985	578
630	987	577
631	988	575
632	990	574
633	991	572
634	993	570
635	994	569
636	995	567
637	997	565
638	998	564
639	1000	562
640	1001	561
641	1003	559
642	1004	557
643	1006	556
644	1007	554
645	1009	553
646	1010	551
647	1012	549
648	1013	548
649	1015	546
650	1016	545
651	1018	543
652	1019	541
653	1021	540
654	1022	538
655	1023	536
656	1025	535
657	1026	533
658	1028	532
659	1029	530
660	1031	528
661	1032	527
662	1034	525
663	1035	524
664	1037	522
665	1038	520
666	1040	519
667	1041	517
668	1043	516
669	1044	514
670	1045	512
671	1047	511
672	1048	509
673	1050	508
674	1051	506
675	1053	504
676	1054	503
677	1056	501
678	1057	500
679	1059	498
680	1060	496
681	1062	495
682	1063	493
683	1065	492
684	1066	490
685	1068	489
686	1069	487
687	1071	485
688	1072	484
689	1074	482
690	1075	481
691	1077	479
692	1078	477
693	1080	476
694	1082	474
695	1083	473
696	1084	471
697	1086	470
698	1087	468
699	1089	466
700	1090	465
701	1092	463
702	1093	461
703	1094	460
704	1096	458
705	1097	457
706	1099	455
707	1100	453
708	1102	452
709	1103	450
710	1104	449
711	1106	447
712	1107	445
713	1109	444
714	1110	442
715	1112	441
716	1113	439
717	1115	437
718	1116	436
719	1117	434
720	1119	433
721	1120	431
722	1122	429
723	1123	428
724	1124	426
725	1126	425
726	1127	423
727	1129	421
728	1130	420
729	1132	418
730	1133	417
731	1134	415
732	1136	413
733	1137	412
734	1139	410
735	1140	409
736	1142	407
737	1143	406
738	1145	404
739	1146	402
740	1148	401
741	1149	399
742	1151	398
743	1152	396
744	1154	395
745	1155	393
746	1157	391
747	1158	390
748	1160	388
749	1161	387
750	1163	385
751	1164	384
752	1166	382
753	1167	380
754	1168	379
755	1170	377
756	1171	376
757	1173	374
758	1174	372
759	1176	371
760	1177	369
761	1179	368
762	1180	366
763	1182	365
764	1183	363
765	1185	362
766	1186	360
767	1188	358
768	1189	357
769	1191	355
770	1192	354
771	1194	352
772	1195	351
773	1197	349
774	1198	348
775	1200	346
776	1201	344
777	1203	343
778	1204	341
779	1206	340
780	1207	338
781	1208	337
782	1210	335
783	1211	333
784	1213	332
785	1214	330
786	1216	329
787	1217	327
788	1219	326
789	1221	324
790	1222	323
791	1224	321
792	1225	320
793	1227	318
794	1228	316
795	1230	315
796	1231	313
797	1233	312
798	1234	310
799	1236	309
800	1237	307
801	1239	306
802	1240	304
803	1242	302
804	1243	301
805	1245	299
806	1246	298
807	1248	296
808	1249	295
809	1251	293
810	1252	291
811	1254	290
812	1255	288
813	1257	287
814	1258	285
815	1260	284
816	1261	282
817	1263	281
818	1264	279
819	1266	278
820	1267	276
821	1269	274
822	1270	273
823	1272	271
824	1273	270
825	1275	268
826	1276	267
827	1278	265
828	1279	263
829	1281	262
830	1282	260
831	1283	259
832	1285	257
833	1287	256
834	1288	254
835	1290	253
836	1291	251
837	1292	249
838	1294	248
839	1296	246
840	1298	245
841	1299	243
842	1300	242
843	1302	240
844	1303	239
845	1305	237
846	1306	236
847	1308	234
848	1310	233
849	1311	231
850	1312	229
851	1314	228
852	1315	226
853	1317	225
854	1318	223
855	1320	222
856	1321	220
857	1323	219
858	1325	217
859	1326	215
860	1328	214
861	1329	212
862	1331	211
863	1332	209
864	1334	208
865	1335	206
866	1337	205
867	1338	203
868	1339	201
869	1341	200
870	1342	198
871	1344	197
872	1345	195
873	1347	194
874	1348	192
875	1350	191
876	1351	189
877	1352	187
878	1354	186
879	1355	184
880	1357	183
881	1358	181
882	1360	180
883	1361	178
884	1363	177
885	1365	175
886	1366	174
887	1368	172
888	1369	171
889	1371	169
890	1373	167
891	1374	166
892	1376	164
893	1377	163
894	1379	161
895	1380	160
896	1382	158
897	1383	157
898	1384	155
899	1386	154
900	1387	152
901	1389	150
902	1390	149
903	1391	147
904	1393	146
905	1394	144
906	1396	143
907	1397	141
908	1399	140
909	1400	138
910	1402	137
911	1403	135
912	1405	133
913	1406	132
914	1408	130
915	1409	129
916	1411	127
917	1412	126
918	1414	124
919	1415	123
920	1417	121
921	1418	120
922	1420	118
923	1421	116
924	1422	115
925	1424	113
926	1425	112
927	1427	110
928	1428	109
929	1430	107
930	1432	106
931	1434	104
932	1435	103
933	1437	101
934	1438	100
935	1440	98
936	1441	96
937	1443	95
938	1444	93
939	1445	92
940	1447	90
941	1448	89
942	1450	87
943	1452	86
944	1453	84
945	1454	83
946	1456	81
947	1457	79
948	1459	78
949	1461	76
950	1462	75
951	1463	73
952	1465	72
953	1466	70
954	1468	69
955	1469	67
956	1470	66
957	1472	64
958	1473	63
