iter	Logloss
155	0.6549567718
156	0.6548139707
157	0.6546226267
158	0.6545158311
159	0.6544180806
160	0.6542385598
161	0.6540686171
162	0.6538708844
163	0.6537688072
164	0.6536107606
165	0.6533763816
166	0.6531733853
167	0.6530966868
168	0.6528102527
169	0.6527158519
170	0.6526203134
171	0.652517786
172	0.6522809475
173	0.6520647077
174	0.6518295202
175	0.6516733478
176	0.6514773769
177	0.6513705327
178	0.6512326208
179	0.6511003646
180	0.6509670298
181	0.6508448469
182	0.6507112844
183	0.6505155206
184	0.6504571652
185	0.6502687062
186	0.6501113235
187	0.6499675234
188	0.6498869313
189	0.6497930339
190	0.6496244752
191	0.6495458738
192	0.6492022709
193	0.6490000587
194	0.6488047436
195	0.6486822765
196	0.6485970507
197	0.6483756022
198	0.6482529924
199	0.648144409
200	0.6479511066
201	0.6477576284
202	0.6475817396
203	0.6473754917
204	0.6472638836
205	0.6471705361
206	0.6469097153
207	0.6467918924
208	0.6466588351
209	0.6463848781
210	0.6462272231
211	0.6462016441
212	0.6460919964
213	0.6460293011
214	0.6458472423
215	0.6456602248
216	0.6455328029
217	0.6453830087
218	0.645224123
219	0.6450974619
220	0.6447887194
221	0.6445841958
222	0.6444482104
223	0.6443296926
224	0.6441561984
225	0.6440748658
226	0.6438096103
227	0.6436766822
228	0.6436212709
229	0.643378297
230	0.6431082487
231	0.6429702352
232	0.6428493798
233	0.6427564344
234	0.6426818138
235	0.6425658325
236	0.6424304904
237	0.6423143381
238	0.6421727676
239	0.6420240058
240	0.6419093208
241	0.641670107
242	0.6414898408
243	0.6413292314
244	0.6410650961
245	0.6409286642
246	0.6407570012
247	0.6406692398
248	0.6405659365
249	0.6404661246
250	0.6404067724
251	0.6402707408
252	0.6401058938
253	0.6399385457
254	0.6397343624
255	0.6396022727
256	0.6394580525
257	0.6393664087
258	0.6391935577
259	0.6391242784
260	0.638986503
261	0.6389188187
262	0.638777067
263	0.6386483896
264	0.6384205511
265	0.638055995
266	0.6380027843
267	0.6378899473
268	0.6377571262
269	0.6376298924
270	0.6374845351
271	0.6374469589
272	0.6373045229
273	0.6371661331
274	0.6369930702
275	0.6367473441
276	0.6366120237
277	0.6365169832
278	0.6364159295
279	0.6363287483
280	0.6361671641
281	0.6359541936
282	0.635803313
283	0.6356922745
284	0.6355651738
285	0.6354295793
286	0.6352989365
287	0.6352388528
288	0.635123715
289	0.6350059589
290	0.634868605
291	0.6348228098
292	0.6347367674
293	0.6346582299
294	0.6345730497
295	0.6343123179
296	0.6341358342
297	0.6340105935
298	0.6339576377
299	0.6337967562
300	0.6335553833
301	0.633495228
302	0.6333566142
303	0.6332700671
304	0.6331793081
305	0.6330603764
306	0.6329619133
307	0.6328546983
308	0.6326970003
309	0.6325587892
310	0.6324187424
311	0.6322415437
312	0.6321014121
313	0.6319756464
314	0.6319096164
315	0.6316307413
316	0.631582283
317	0.6313289234
318	0.6311998008
319	0.6309871238
320	0.6308146895
321	0.6307387026
322	0.6304758935
323	0.6303593225
324	0.6301793251
325	0.6300059501
326	0.6299283013
327	0.6297839186
328	0.6295701379
329	0.6293141417
330	0.6291998974
331	0.629046393
332	0.6289070381
333	0.6287680829
334	0.6286658875
335	0.6284876018
336	0.6283213566
337	0.6282778547
338	0.6280793725
339	0.6279613462
340	0.6278617031
341	0.6278002414
342	0.627695739
343	0.6275776906
344	0.6273888578
345	0.6273370184
346	0.6272517418
347	0.6271914183
348	0.6270910468
349	0.6270088017
350	0.6269656568
351	0.6268558698
352	0.6267616535
353	0.6266231546
354	0.6266006571
355	0.6264385068
356	0.6262775738
357	0.6261392056
358	0.6260842661
359	0.6260192911
360	0.625898418
361	0.6258210221
362	0.6255544753
363	0.6253909926
364	0.6253004744
365	0.6251706159
366	0.6250882272
367	0.6250372009
368	0.6248717853
369	0.6245869035
370	0.6244564731
371	0.6242036682
372	0.6240683112
373	0.6239858925
374	0.6238695868
375	0.6237139458
376	0.6235905186
377	0.6234441601
378	0.6232883971
379	0.623152003
380	0.6230023344
381	0.6228908405
382	0.6227737483
383	0.6226394995
384	0.6225381984
385	0.6223698221
386	0.6222006354
387	0.622086773
388	0.6220023233
389	0.6219295353
390	0.6218333111
391	0.6217104088
392	0.6216418515
393	0.6215402672
394	0.6213581198
395	0.6212655759
396	0.6211880087
397	0.6210468182
398	0.6209538735
399	0.6207779336
400	0.620658684
401	0.6204396
402	0.6202893039
403	0.6201094557
404	0.619966225
405	0.6198304002
406	0.6197641115
407	0.6196241243
408	0.6195557036
409	0.6194513671
410	0.6192362296
411	0.6191804147
412	0.6189352884
413	0.6188893498
414	0.6187065096
415	0.6185787329
416	0.6184853231
417	0.618349714
418	0.6181909863
419	0.6180958032
420	0.6179662781
421	0.6177527908
422	0.6175749039
423	0.617442955
424	0.6172629713
425	0.6171534059
426	0.6169008333
427	0.6167503522
428	0.6166182642
429	0.6165298166
430	0.6164151492
431	0.6162484298
432	0.6160829868
433	0.6158589575
434	0.6157131026
435	0.615560546
436	0.6153295134
437	0.6151915817
438	0.6150053876
439	0.6148424404
440	0.6147068858
441	0.6146023894
442	0.6144453027
443	0.6142811955
444	0.6141651596
445	0.6141009419
446	0.6140203915
447	0.6138750015
448	0.6138122935
449	0.6135066971
450	0.6133998037
451	0.6132740698
452	0.6131106345
453	0.6130145109
454	0.6128070381
455	0.6126555107
456	0.6125523041
457	0.6124412217
458	0.6123657327
459	0.612150291
460	0.6120743203
461	0.6119408644
462	0.6116550185
463	0.6115613513
464	0.6114944168
465	0.6113895599
466	0.6112104006
467	0.6110697748
468	0.6109391779
469	0.6107840791
470	0.610713629
471	0.6106736218
472	0.6105345569
473	0.6104462229
474	0.6101963356
475	0.6100228908
476	0.609905423
477	0.6098255213
478	0.6097784306
479	0.6096744701
480	0.609502686
481	0.6093298818
482	0.6091865916
483	0.6090770711
484	0.6089661576
485	0.6089321046
486	0.6087255874
487	0.6085278788
488	0.608446359
489	0.6082709611
490	0.6080950103
491	0.6078632123
492	0.6076473833
493	0.6074958294
494	0.607382401
495	0.6072895813
496	0.6071019339
497	0.606957553
498	0.6067400544
499	0.6065979464
500	0.6063060413
501	0.6061867101
502	0.6061008411
503	0.6060239533
504	0.6059842603
505	0.6058865853
506	0.6058165441
507	0.6055672162
508	0.60547058
509	0.6053119706
510	0.6051960987
511	0.6051009971
512	0.6050638138
513	0.6049226973
514	0.6048089818
515	0.6046819655
516	0.604593177
517	0.6043445052
518	0.6042105068
519	0.6041039731
520	0.6038570826
521	0.6036665096
522	0.6034228033
523	0.6032290426
524	0.6031641669
525	0.6030299178
526	0.6029033234
527	0.6026941741
528	0.6026581506
529	0.6025478063
530	0.6023749149
531	0.6022105158
532	0.6020766144
533	0.6017402253
534	0.6014727013
535	0.6013612766
536	0.6012739227
537	0.6012014408
538	0.6011296421
539	0.6010448663
540	0.6009483705
541	0.6007439632
542	0.600609072
543	0.6003476552
544	0.6001680524
545	0.6000440839
546	0.5997910763
547	0.5995816545
548	0.5994064053
549	0.5992386008
550	0.5991123624
551	0.5989468047
552	0.5987342582
553	0.5986086606
554	0.5984090346
555	0.5982196037
556	0.598082255
557	0.5978853892
558	0.5978217177
559	0.5977137383
560	0.5974716358
561	0.5973367649
562	0.5972244281
563	0.5971885536
564	0.5969751773
565	0.5967948237
566	0.5965871984
567	0.5963301374
568	0.5961520852
569	0.5959448544
570	0.5957513364
571	0.595671068
572	0.5954459126
573	0.5952667782
574	0.5951213489
575	0.5949707527
576	0.594759333
577	0.5946934472
578	0.5945340254
579	0.5943860928
580	0.5942156683
581	0.5941378256
582	0.5940538056
583	0.5939044897
584	0.5937402103
585	0.593580647
586	0.5934431623
587	0.5933872177
588	0.5933084817
589	0.5930987308
590	0.592944766
591	0.592855525
592	0.5926410714
593	0.5924410199
594	0.5922259109
595	0.592048
596	0.5918288115
597	0.591661026
598	0.5914088693
599	0.5912975204
600	0.5911788189
601	0.590938258
602	0.590804925
603	0.590595447
604	0.5904017096
605	0.5902364875
606	0.5901257627
607	0.5899436199
608	0.5897288398
609	0.5896524043
610	0.5895239931
611	0.5893149783
612	0.5891025215
613	0.5889795892
614	0.5888409923
615	0.5885685036
616	0.588451027
617	0.5883404041
618	0.5881546812
619	0.5880345291
620	0.5879317616
621	0.5878169288
622	0.5876556746
623	0.5873894736
624	0.5871462735
625	0.5869761404
626	0.5867733183
627	0.5865684283
628	0.5862458915
629	0.5861609806
630	0.5859091713
631	0.5857863826
632	0.5855316365
633	0.5853996703
634	0.585231556
635	0.5851268256
636	0.5849773731
637	0.5848359021
638	0.584576801
639	0.5843253352
640	0.5841157689
641	0.5839338374
642	0.5837181993
643	0.583449633
644	0.5831526309
645	0.5829801697
646	0.5828287872
647	0.582639753
648	0.5824647976
649	0.5823109361
650	0.5822287741
651	0.5819571416
652	0.5818205568
653	0.5816426806
654	0.5814437075
655	0.581146659
656	0.5810269796
657	0.580856875
658	0.580698732
659	0.5805605105
660	0.5804707434
661	0.580274608
662	0.5801118212
663	0.5799769222
664	0.5797284792
665	0.579537647
666	0.5793142851
667	0.5790571001
668	0.5788826291
669	0.5787535476
670	0.5785727202
671	0.5783380677
672	0.5781942354
673	0.5780366272
674	0.5779419451
675	0.5777745542
676	0.5775222157
677	0.5773518156
678	0.577212149
679	0.5770515614
680	0.5769004299
681	0.5767385009
682	0.5763361234
683	0.5761183399
684	0.5759295968
685	0.5756865794
686	0.575456269
687	0.5752922343
688	0.5752062076
689	0.5750658506
690	0.5749333502
691	0.5747062352
692	0.5744856777
693	0.5743268834
694	0.574251237
695	0.5740428677
696	0.573931657
697	0.5736999379
698	0.5735173635
699	0.5732869222
700	0.5731511308
701	0.5730438868
702	0.5729461983
703	0.5727888123
704	0.5726374746
705	0.5724850553
706	0.5721373745
707	0.5720782706
708	0.5718720194
709	0.5717405294
710	0.57159056
711	0.5714706273
712	0.5712139695
713	0.5710971067
714	0.5709964323
715	0.5708720083
716	0.5706589688
717	0.570456808
718	0.5702771488
719	0.5701093641
720	0.5700076804
721	0.5698571206
722	0.5696659594
723	0.5695473056
724	0.5691253339
725	0.5689502237
726	0.5687025336
727	0.5685675949
728	0.568372934
729	0.5682129312
730	0.5680001038
731	0.5678287115
732	0.5676845739
733	0.5673939865
734	0.5670838137
735	0.566931304
736	0.5666910468
737	0.5664603747
738	0.5663105159
739	0.5660791641
740	0.5659445615
741	0.5657587264
742	0.5656774224
743	0.5654354836
744	0.5652568976
745	0.5650451128
746	0.564785925
747	0.5646390003
748	0.5645051077
749	0.5643408234
750	0.5641609418
751	0.5639444209
752	0.5636922814
753	0.5635863168
754	0.5633301951
755	0.5631901591
756	0.5629860381
757	0.5627406468
758	0.5625898184
759	0.5624740557
760	0.5623081679
761	0.5620717217
762	0.5619407478
763	0.5617102789
764	0.5615267686
765	0.5614457552
766	0.561320589
767	0.5611353582
768	0.5609901145
769	0.5608354525
770	0.5607232942
771	0.5606142982
772	0.5603852621
773	0.5601599063
774	0.5599326643
775	0.5598007387
776	0.5596816403
777	0.5595780664
778	0.5594063105
779	0.5592490753
780	0.5589264998
781	0.5586893924
782	0.5585009326
783	0.5582489234
784	0.5580818341
785	0.5578677743
786	0.5575851138
787	0.5573537422
788	0.5571127426
789	0.5568798077
790	0.5568292153
791	0.5565817848
792	0.5562905661
793	0.5560319511
794	0.5557739116
795	0.5556624652
796	0.5555840112
797	0.555337959
798	0.5550795008
799	0.5548729212
800	0.5547111027
801	0.5546414323
802	0.5543966492
803	0.5541491001
804	0.5540182919
805	0.5538841087
806	0.5537432483
807	0.5536286391
808	0.5534516063
809	0.5533303303
810	0.5531728436
811	0.5530754128
812	0.5529375105
813	0.5527234584
814	0.5525221248
815	0.5521596988
816	0.5519647404
817	0.5516572734
818	0.5514860501
819	0.551401579
820	0.5512299306
821	0.5509903038
822	0.5508003791
823	0.5505870059
824	0.5504525447
825	0.5502739396
826	0.5501621909
827	0.5498466752
828	0.5497598383
829	0.5494828407
830	0.5493820607
831	0.5490944134
832	0.5489139005
833	0.5486416613
834	0.548374728
835	0.548269693
836	0.5480556937
837	0.5478260695
838	0.5477379376
839	0.5474983769
840	0.5473286217
841	0.5472199722
842	0.546953862
843	0.5467204289
844	0.5466490247
845	0.5463511532
846	0.5461970407
847	0.5459704681
848	0.5457108909
849	0.5455548003
850	0.5452895666
851	0.5452190482
852	0.5451118766
853	0.5448731071
854	0.5447516946
855	0.5445590628
856	0.5443433392
857	0.5440106813
858	0.5438698132
859	0.543685264
860	0.5435964783
861	0.5434267057
862	0.5433184963
863	0.5432640018
864	0.5430465984
865	0.5427150817
866	0.5424750329
867	0.5422691806
868	0.5419554342
869	0.5417286567
870	0.5415381396
871	0.5413052873
872	0.5412171293
873	0.5409114272
874	0.5406996431
875	0.5405664961
876	0.5404740631
877	0.5403007686
878	0.540094818
879	0.5399052404
880	0.5398462823
881	0.5396072317
882	0.5393339257
883	0.5391796176
884	0.5388273552
885	0.5384991811
886	0.5382597657
887	0.5379742288
888	0.537863675
889	0.5376603295
890	0.5374392506
891	0.537297807
892	0.5370958793
893	0.5368168487
894	0.5366268491
895	0.536511947
896	0.5364433779
897	0.536279125
898	0.536155321
899	0.5359373762
900	0.5356878719
901	0.5353963692
902	0.5352549704
903	0.5350040134
904	0.5347112458
905	0.5345148393
906	0.5343882169
907	0.5343179427
908	0.5341479715
909	0.5340283617
910	0.5339002048
911	0.5336813603
912	0.533477616
913	0.5332355518
914	0.5330827976
915	0.5329886643
916	0.5328836226
917	0.5326035576
918	0.5323921141
919	0.5321651215
920	0.5320505035
921	0.5319170965
922	0.5317251992
923	0.5315365436
924	0.5313013329
925	0.5310799777
926	0.5308876239
927	0.5307566341
928	0.5305526843
929	0.5303928733
930	0.5301735787
931	0.5301089972
932	0.5298912261
933	0.5297359954
934	0.5296247886
935	0.5294810748
936	0.5293747328
937	0.5292279022
938	0.5291389729
939	0.5290000531
940	0.5288457776
941	0.5286237554
942	0.5284138392
943	0.5283284247
944	0.5281681845
945	0.5279511249
946	0.5277983373
947	0.5276301764
948	0.5275100795
949	0.5273570688
950	0.5271482628
951	0.5269113467
952	0.5267569548
953	0.5266587576
954	0.5265169684
955	0.526417997
956	0.5262995425
957	0.5261255632
958	0.5258828652
959	0.5256468608
960	0.5254284038
961	0.5252596729
962	0.524930828
963	0.5248739253
964	0.5245596928
965	0.5243555494
966	0.524061864
967	0.5238348863
968	0.5237333836
969	0.5233975506
970	0.5231577077
971	0.5229412356
972	0.5228056137
973	0.5226601895
974	0.5224982001
975	0.5223523664
976	0.5222110926
977	0.5219337558
978	0.5216426034
979	0.5213565635
980	0.5211661574
981	0.5209736106
982	0.5208243449
983	0.5207033681
984	0.5205521031
985	0.5203634783
986	0.5202708043
987	0.5201728389
988	0.5200036969
989	0.5198254302
990	0.519643264
991	0.5194206451
992	0.5193363727
993	0.5190946531
994	0.5189856308
995	0.5188635073
996	0.5187148831
997	0.5185572652
998	0.5183880472
999	0.5181667964
